neg,neg_pol_score
 복판/NNG,0.7047096387349966
 받아들여야/VV,0.7401221833950467
 난/VV,0.6363689157519495
 정의당/NNG,0.4495389633231733
 묶였/VV,0.6022706436306613
 국감/NNG,0.4592433263133847
 상임/NNG,0.6644405165215682
 공영/NNG,0.6683432508330017
 실무자/NNG,0.7161823231262867
 단백질/NNG,0.6972523938806581
 거래세/NNG,0.7493821990351549
 내수/NNG;경기/NNG;부진/NNG,0.6706793946109726
 콜옵션/NNG,0.7194486638588659
 신동/NNG,0.6411268141874781
 수익형/NNG,0.6195522057643054
 국채/NNG;발행/NNG;늘/VV,0.6693082126133013
 제목/NNG,0.6633485846949101
 상당기간/NNG,0.7398309763245804
 뉴욕후장가격/NNG,0.7589350285156689
 파운드/NNG,0.7205386085739082
국채/NNG;금리/NNG;상승/NNG,0.7047096387349966
 중간선거/NNG,0.4629465845622958
 슬/VV,0.7039810056430771
 조작/NNG,0.5866654409246945
 상고심/NNG,0.62417139430814
 원심/NNG,0.6140564015246721
 부당이득/NNG,0.7286615329883368
 신흥시장/NNG;위험/NNG,0.7509959861067534
 전례/NNG,0.7468517433769566
 도매/NNG;재고/NNG;증가/NNG,0.689513743560118
 점도표/NNG,0.6784833668592628
 승표/NNG,0.6534352905750412
 하우스푸어/NNG,0.5491693303492504
 세일앤리스백/NNG,0.4827131957635326
 호수/NNG,0.6478984289733135
 임대주택리츠/NNG,0.5916251174507116
 부양책/NNG,0.685897218931576
 푼다/VV,0.5406502519395476
 모면/NNG,0.7332106156440441
 대전환/NNG,0.6644405165215682
 한겨레/NNG,0.6189400581897792
 공화국/NNG,0.666539854646439
 범행/NNG,0.6602484627895711
 고용률/NNG,0.7315110511898575
 우울/NNG,0.7130469311187292
 진상/NNG,0.5577420394159149
 신아/NNG,0.5848071961893953
 망하/VA,0.7501747767178996
 협동조합/NNG,0.7255384950522872
 마음껏/MAG,0.7235018957679299
 축산업/NNG,0.5331930070852091
 융/NNG,0.7354494266841786
 매일신문/NNG,0.7096852304417629
 고통/NNG,0.7326218818084386
 떠밀려/VV,0.6394850041639507
 관광지/NNG,0.6198658906752575
 환승/NNG,0.6301783904394247
 매일/NNG,0.6732776306232682
 시대정신/NNG,0.4559885897697037
 격랑/NNG,0.6787295598876235
 디딤돌/NNG,0.7229893470828814
 규명/NNG,0.7572512553372794
 모태펀드/NNG,0.6349098268983874
 공적자금/NNG,0.6217747981544824
 근속/NNG,0.7185425433121285
 풍토/NNG,0.7066272159832552
 빈틈없이/MAG,0.5962927712373048
 뿌리/VV,0.7133563827685548
 안정/NNG;회복/NNG,0.6979417190352607
 슬/NNG,0.6699516872132971
 명세서/NNG,0.4523186614818188
 처한/VV,0.669229277001003
 높/VA;경기/NNG;부양/NNG,0.5686653069328738
 가계/NNG;부채/NNG;높/VA,0.7599809829495061
 많/VA;금리/NNG;인하/NNG,0.6237085308344223
 인하/NNG;효과/NNG,0.4575849711011935
 미약/NNG,0.7499612524595903
 난이/NNG,0.4468459614033938
 민자사업/NNG,0.7504902081387839
양적완화/NNG;축소/NNG;금리/NNG;인상/NNG,0.3199158042511254
 이호/NNG,0.7311310897479081
 건설공사/NNG,0.6341526297285623
 따졌/VV,0.7458005797691073
 탈락/NNG,0.7186805586865943
 자금시장/NNG,0.5774996501528274
 지준/NNG,0.7226468869369692
 손길/NNG,0.5262117565832751
 휘발유/NNG;재고/NNG;증가/NNG,0.7482438249116758
 원유/NNG;감산/NNG,0.2996496447058053
 감산/NNG,0.5729674047619594
 opec/NNG,0.7525305180250289
금리/NNG;인하/NNG;경기/NNG;부양/NNG,0.5245583025170276
 가계/NNG;부채/NNG;늘/VV,0.7524152190575251
 인플레이션/NNG;하락/NNG,0.6670309278920227
 위축/NNG;효과/NNG,0.4746003689439773
 작/VA;않/VX;부담/NNG,0.7482438249116758
 종무식/NNG,0.46923765291071207
 한시름/NNG,0.4559885897697037
 국을/NNG,0.5686653069328738
 일찍이/MAG,0.7468517433769566
 사소/NNG,0.7411738045188097
 외평기금/NNG,0.7149043532194088
 채무증권/NNG,0.7304133337648446
 자산/NNG;가격/NNG;오르/VV,0.7032399627418059
 동종/NNG,0.6612537514543185
 순차입/NNG,0.6699948782061791
 불황/NNG,0.6743201697868854
 황이/NNG,0.6731260134695627
 유종/NNG,0.7449787609484251
 외국인/NNG;자금/NNG;이탈/NNG,0.7369810607178835
 롱포지션/NNG,0.7266103894124752
 비둘기/NNG,0.6308461823528989
 상대방/NNG,0.6775007723745721
 급전직하/NNG,0.5822416897353949
 글로벌/NNG;경제/NNG;위험/NNG,0.6644405165215682
 달러인덱스/NNG;상승/NNG,0.5770962232699067
 국채시장/NNG;불안/NNG,0.5454362449057649
 블랙스완/NNG,0.4746003689439773
 저물가/NNG,0.7100362422023814
 교착/NNG,0.6955254529670217
 타결/NNG,0.6600643989594065
 일자리/NNG;증가/NNG,0.7335946631074979
 학부/NNG,0.6450205431785578
 금리/NNG;인하/NNG,0.6124524669347927
 폐업/NNG,0.7008189022892548
 구제/NNG,0.6821179391704938
 우딩/NNG,0.7458005797691072
 계좌통합관리서비스/NNG,0.6644405165215682
 외환시장/NNG;변동성/NNG;확대/NNG,0.6030400727505982
 유동성/NNG;확충/NNG,0.7222179527408351
 유휴생산능력/NNG,0.44470428271128587
 안시/NNG,0.6644405165215682
 금융중개지원대출/NNG,0.4457843173991092
 배승/NNG,0.5962927712373048
 수요/NNG;급감/NNG,0.6737333908785132
 요지부동/NNG,0.7464702099192926
 랜드마크/NNG,0.5577817603887039
 심교/NNG,0.7458005797691072
글로벌/NNG;금리/NNG;인하/NNG,0.3417903891571853
 혜신/NNG,0.6476379357230515
 공조/NNG,0.5711991032984051
 종반/NNG,0.6375944350459493
 금리/NNG;상승/NNG;취약/NNG,0.7482438249116758
 코넥스/NNG,0.6851931013133028
 출석/NNG,0.7198850818302321
 조모/NNG,0.62417139430814
 만료일/NNG,0.4489462949470056
 요청서/NNG,0.4746003689439773
 회계장부/NNG,0.5719542907786392
 수표/NNG,0.7287041934217544
 전망/NNG;어둡/VA,0.7495508010250588
 위험/NNG;감소/NNG,0.7201977626632383
 계영/NNG,0.7344317425542952
 담길/VV,0.7236085047557392
 채무보증/NNG,0.6353939365643413
 공공부분/NNG,0.7098723467110772
 상환액/NNG,0.7173728847140621
 사회안전망/NNG,0.7083895846291741
 열거/NNG,0.7066272159832552
 자본환원율/NNG,0.3422875388141413
대출/NNG;한도/NNG;확대/NNG,0.5923306930231035
